"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"83",302213,286783,286287,282337,0.0657681833673601
"84",365898,352342,352148,335969,0.0817960196557511
"85",142182,135852,135759,134954,0.0508362521275548
"86",126343,121235,121206,120905,0.0430415614636347
"88",217191,208670,208466,203877,0.0613008826332583
"89",73,60,60,55,0.246575342465753
"9",220,175,172,172,0.218181818181818
"90",529810,504426,504256,503682,0.0493157924538986
"91",281611,272054,271855,270442,0.0396610927840177
"92",153007,146528,146371,145229,0.0508342755560203
"93",157459,150511,150435,149950,0.0476886046526397
"94",1860,1773,1766,1743,0.0629032258064516
"95",187929,182652,182601,181135,0.0361519510027723
"96",3630,3508,3505,3503,0.0349862258953168
"97",359442,342179,342037,340952,0.0514408444199621
"98",281794,268179,267859,263945,0.063340596322136
"99",173183,165662,165466,164407,0.0506747198050617
