seq_coast_tube_id,success,sample,tree,sample_type,lat,lon,distance_from_edge,distance_from_fence,fenced,fwd_filepath,rev_filepath,sra_bioproject,sra_study,sra_accession,sra_locatlon,collection_round,tube_id_year,seq_date,amplicon
1,SUCCESSFUL,epi_blank_2,NA,epiphyte,NA,NA,NA,NA,NA,./Data/Raw/4539_1_S1_R1_001.fastq.gz,./Data/Raw/4539_1_S1_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27970064,NA,2023,1_2023,2023,ITS2
10,SUCCESSFUL,end_a29,a29,endophyte,38.52161,-111.75378,97.0660429475422,171.270414777895,NA,./Data/Raw/4539_10_S10_R1_001.fastq.gz,./Data/Raw/4539_10_S10_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27970063,38.52161 N 111.75378 W,2023,10_2023,2023,ITS2
100,SUCCESSFUL,epi_f2,f2,epiphyte,38.52285,-111.7495,51.9404774546058,20.2051708865723,NA,./Data/Raw/4539_100_S100_R1_001.fastq.gz,./Data/Raw/4539_100_S100_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27969940,38.52285 N 111.7495 W,2023,100_2023,2023,ITS2
101,SUCCESSFUL,epi_b5,b5,epiphyte,38.52755,-111.74496,46.7718382573299,124.871406991902,NA,./Data/Raw/4539_101_S101_R1_001.fastq.gz,./Data/Raw/4539_101_S101_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27970035,38.52755 N 111.74496 W,2023,101_2023,2023,ITS2
102,SUCCESSFUL,epi_c6,c6,epiphyte,38.52699,-111.74737,123.233973572566,4.76025469361844,NA,./Data/Raw/4539_102_S102_R1_001.fastq.gz,./Data/Raw/4539_102_S102_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27970024,38.52699 N 111.74737 W,2023,102_2023,2023,ITS2
103,SUCCESSFUL,epi_g3,g3,epiphyte,38.5233,-111.7525,19.5591169452973,28.7095004705053,NA,./Data/Raw/4539_103_S103_R1_001.fastq.gz,./Data/Raw/4539_103_S103_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,#N/A,38.5233 N 111.7525 W,2023,103_2023,2023,ITS2
104,SUCCESSFUL,epi_d4,d4,epiphyte,38.52588,-111.74762,98.37864508035,36.5219612755618,NA,./Data/Raw/4539_104_S104_R1_001.fastq.gz,./Data/Raw/4539_104_S104_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27970013,38.52588 N 111.74762 W,2023,104_2023,2023,ITS2
105,SUCCESSFUL,epi_e1,e1,epiphyte,38.52361,-111.74828,13.9356387439773,10.0517518352539,NA,./Data/Raw/4539_105_S105_R1_001.fastq.gz,./Data/Raw/4539_105_S105_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27969924,38.52361 N 111.74828 W,2023,105_2023,2023,ITS2
106,SUCCESSFUL,epi_k4,k4,epiphyte,38.52971,-111.74688,6.49072389847444,245.533780147013,NA,./Data/Raw/4539_106_S106_R1_001.fastq.gz,./Data/Raw/4539_106_S106_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27969913,38.52971 N 111.74688 W,2023,106_2023,2023,ITS2
107,SUCCESSFUL,epi_a22,a22,epiphyte,38.52383,-111.75158,60.2627450636108,46.022202034977,NA,./Data/Raw/4539_107_S107_R1_001.fastq.gz,./Data/Raw/4539_107_S107_R2_ITS1.fastq.gz,PRJNA1076591,SRP489788,SRR27969980,38.52383 N 111.75158 W,2023,107_2023,2023,ITS2
