id,line_id,point_id,lat,lon
0,0,0,38.5282945400,-111.7517140000
1,0,1,38.5283128600,-111.7517140000
2,0,2,38.5283311800,-111.7516910000
3,0,3,38.5283495000,-111.7516910000
4,0,4,38.5283678100,-111.7516910000
5,0,5,38.5283861200,-111.7516910000
6,0,6,38.5284044500,-111.7516680000
7,0,7,38.5284227600,-111.7516680000
8,0,8,38.5284410700,-111.7516680000
9,0,9,38.5284593800,-111.7516680000
10,0,10,38.5284777100,-111.7516450000
11,0,11,38.5284960200,-111.7516450000
12,0,12,38.5284960200,-111.7516450000
13,0,13,38.5285143500,-111.7516210000
14,0,14,38.5285326700,-111.7515980000
15,0,15,38.5285509800,-111.7515980000
16,0,16,38.5285693100,-111.7515750000
17,0,17,38.5285876400,-111.7515510000
18,0,18,38.5286059600,-111.7515280000
19,0,19,38.5286242900,-111.7515050000
20,0,20,38.5286426000,-111.7515050000
21,0,21,38.5286609200,-111.7514810000
22,0,22,38.5286792500,-111.7514580000
23,0,23,38.5286792500,-111.7514580000
24,0,24,38.5286975700,-111.7514350000
25,0,25,38.5287159000,-111.7514120000
26,0,26,38.5287159100,-111.7513880000
27,0,27,38.5287342400,-111.7513650000
28,0,28,38.5287342400,-111.7513650000
29,0,29,38.5287342500,-111.7513420000
30,0,30,38.5287342600,-111.7513180000
31,0,31,38.5287525900,-111.7512950000
32,0,32,38.5287526000,-111.7512720000
33,0,33,38.5287526100,-111.7512480000
34,0,34,38.5287526100,-111.7512480000
35,0,35,38.5287709400,-111.7512250000
36,0,36,38.5287892600,-111.7512020000
37,0,37,38.5287892800,-111.7511790000
38,0,38,38.5288076000,-111.7511550000
39,0,39,38.5288259300,-111.7511320000
40,0,40,38.5288442500,-111.7511090000
41,0,41,38.5288442600,-111.7510850000
42,0,42,38.5288625900,-111.7510620000
43,0,43,38.5288625900,-111.7510620000
44,0,44,38.5288626000,-111.7510390000
45,0,45,38.5288443000,-111.7510150000
46,0,46,38.5288443200,-111.7509920000
47,0,47,38.5288443300,-111.7509690000
48,0,48,38.5288443400,-111.7509450000
49,0,49,38.5288260400,-111.7509220000
50,0,50,38.5288260500,-111.7508990000
51,0,51,38.5288260700,-111.7508760000
52,0,52,38.5288260800,-111.7508520000
53,0,53,38.5288077800,-111.7508290000
54,0,54,38.5288077900,-111.7508060000
55,0,55,38.5288078000,-111.7507820000
56,0,56,38.5288078000,-111.7507820000
57,0,57,38.5288078200,-111.7507590000
58,0,58,38.5287895200,-111.7507360000
59,0,59,38.5287895300,-111.7507120000
60,0,60,38.5287712300,-111.7506890000
61,0,61,38.5287712400,-111.7506660000
62,0,62,38.5287529400,-111.7506420000
63,0,63,38.5287529500,-111.7506190000
64,0,64,38.5287346500,-111.7505960000
65,0,65,38.5287346700,-111.7505720000
66,0,66,38.5287163700,-111.7505490000
67,0,67,38.5287163800,-111.7505260000
68,0,68,38.5287163800,-111.7505260000
69,0,69,38.5286980800,-111.7505020000
70,0,70,38.5286797800,-111.7504790000
71,0,71,38.5286797900,-111.7504560000
72,0,72,38.5286614900,-111.7504320000
73,0,73,38.5286431900,-111.7504090000
74,0,74,38.5286248900,-111.7503860000
75,0,75,38.5286065900,-111.7503620000
76,0,76,38.5286066000,-111.7503390000
77,0,77,38.5285883000,-111.7503160000
78,0,78,38.5285700000,-111.7502920000
79,0,79,38.5285700000,-111.7502920000
80,0,80,38.5285517000,-111.7502690000
81,0,81,38.5285334000,-111.7502460000
82,0,82,38.5285151000,-111.7502220000
83,0,83,38.5284968000,-111.7501990000
84,0,84,38.5284785000,-111.7501760000
85,0,85,38.5284602000,-111.7501520000
86,0,86,38.5284419000,-111.7501290000
87,0,87,38.5284419000,-111.7501290000
88,0,88,38.5284235900,-111.7501290000
89,0,89,38.5284052900,-111.7501060000
90,0,90,38.5283869800,-111.7501060000
91,0,91,38.5283686800,-111.7500820000
92,0,92,38.5283503700,-111.7500820000
93,0,93,38.5283320700,-111.7500590000
94,0,94,38.5283137500,-111.7500590000
95,0,95,38.5282954400,-111.7500590000
96,0,96,38.5282771400,-111.7500360000
97,0,97,38.5282588300,-111.7500360000
98,0,98,38.5282405300,-111.7500120000
99,0,99,38.5282222200,-111.7500120000
100,0,100,38.5282039200,-111.7499890000
101,0,101,38.5281856000,-111.7499890000
102,0,102,38.5281856000,-111.7499890000
103,0,103,38.5281672800,-111.7500120000
104,0,104,38.5281489500,-111.7500360000
105,0,105,38.5281306400,-111.7500360000
106,0,106,38.5281123200,-111.7500590000
107,0,107,38.5280939900,-111.7500820000
108,0,108,38.5280756700,-111.7501060000
109,0,109,38.5280573500,-111.7501060000
110,0,110,38.5280390300,-111.7501290000
111,0,111,38.5280390300,-111.7501290000
112,0,112,38.5280390200,-111.7501520000
113,0,113,38.5280206900,-111.7501750000
114,0,114,38.5280206800,-111.7501990000
115,0,115,38.5280023500,-111.7502220000
116,0,116,38.5280023400,-111.7502450000
117,0,117,38.5280023300,-111.7502690000
118,0,118,38.5279840000,-111.7502920000
119,0,119,38.5279839900,-111.7503150000
120,0,120,38.5279838500,-111.7505720000
121,0,121,38.5279838700,-111.7505480000
122,0,122,38.5279838800,-111.7505250000
123,0,123,38.5279838900,-111.7505020000
124,0,124,38.5279839000,-111.7504780000
125,0,125,38.5279839200,-111.7504550000
126,0,126,38.5279839300,-111.7504320000
127,0,127,38.5279839400,-111.7504090000
128,0,128,38.5279839500,-111.7503850000
129,0,129,38.5279839700,-111.7503620000
130,0,130,38.5279839800,-111.7503390000
131,0,131,38.5279839900,-111.7503150000
